GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households 
5350423.01,CT,0423.01,1.7311,3738,1372,1297
5350423.02,CT,0423.02,2.6468,7750,2829,2708
5350424.04,CT,0424.04,1.3705,2542,801,783
5350424.05,CT,0424.05,2.268,8853,2968,2866
5350424.07,CT,0424.07,2.0988,8306,2571,2532
5350424.08,CT,0424.08,2.3112,7012,2193,2146
5350424.09,CT,0424.09,2.1217,4648,1550,1464
5350424.10,CT,0424.10,2.7326,6441,1956,1919
5350424.11,CT,0424.11,4.1599,8859,3012,2880
5350424.13,CT,0424.13,25.9542,4554,1592,1509
5350424.14,CT,0424.14,4.8963,13157,3984,3910
5350424.15,CT,0424.15,6.9108,9958,3125,3055
5350424.16,CT,0424.16,3.557,9013,2594,2546
5350430.03,CT,0430.03,3.1594,6001,1989,1947
5350430.05,CT,0430.05,2.1488,7487,2356,2319
5350430.06,CT,0430.06,2.051,7367,2182,2151
5350430.07,CT,0430.07,9.577,10270,3745,3665
5350430.08,CT,0430.08,6.6993,5992,1945,1924
5350431.01,CT,0431.01,49.0789,6534,2636,2544
5350431.02,CT,0431.02,133.7033,6213,2301,2157
5350440.00,CT,0440.00,22.4723,7728,2947,2769
5350441.02,CT,0441.02,1.5635,4356,1842,1757
5350441.03,CT,0441.03,3.0496,7228,2583,2501
5350441.04,CT,0441.04,4.5793,5748,1843,1788
5350442.02,CT,0442.02,1.5963,4325,1841,1766
5350442.03,CT,0442.03,4.0107,5110,1719,1687
5350442.04,CT,0442.04,1.4911,3680,1455,1408
5350442.05,CT,0442.05,3.5469,7173,2625,2565
5350442.06,CT,0442.06,7.6913,16709,5398,5265
5350450.02,CT,0450.02,1.4502,3175,1221,1147
5350450.03,CT,0450.03,5.0954,8386,3038,2967
5350450.05,CT,0450.05,3.0023,6191,2142,2093
5350450.06,CT,0450.06,3.3529,8327,2502,2446
5350451.01,CT,0451.01,1.0597,2237,971,937
5350451.02,CT,0451.02,1.9885,5336,2625,2500
5350451.03,CT,0451.03,2.5182,6810,2498,2409
5350451.05,CT,0451.05,2.5471,6081,2028,1981
5350451.06,CT,0451.06,1.929,6701,2153,2108
5350451.07,CT,0451.07,3.4995,4927,1565,1534
5350452.01,CT,0452.01,1.4043,3174,1314,1273
5350452.02,CT,0452.02,1.4345,5024,2046,1937
5350452.03,CT,0452.03,3.7433,5280,2043,1982
5350452.05,CT,0452.05,2.3348,6411,1909,1856
5350452.06,CT,0452.06,1.1791,4573,1318,1300
5350452.07,CT,0452.07,1.9623,5309,1866,1831
5350455.00,CT,0455.00,127.2316,9009,3135,3036
5350456.01,CT,0456.01,61.7928,11526,3925,3745
5350456.02,CT,0456.02,18.2455,10104,3386,3285
5350456.03,CT,0456.03,37.6361,3998,1423,1383
5350460.01,CT,0460.01,25.7855,8659,2830,2754
5350460.02,CT,0460.02,113.4958,3503,1375,1268
5350461.01,CT,0461.01,16.4121,7215,2140,2107
5350461.02,CT,0461.02,176.4229,7956,3001,2840
5350470.00,CT,0470.00,33.6831,2951,1190,1128
5350471.00,CT,0471.00,171.3464,3283,1359,1224
5350472.00,CT,0472.00,10.1678,8349,3068,2950
5350473.01,CT,0473.01,3.8,6539,2301,2223
5350473.02,CT,0473.02,3.1878,6898,2591,2508
5350473.03,CT,0473.03,2.088,3616,1497,1419
5350474.00,CT,0474.00,30.3598,5912,2713,2362
5350475.00,CT,0475.00,13.1144,7728,3278,3035
5350476.01,CT,0476.01,14.4724,231,550,112
5350476.02,CT,0476.02,19.9428,2366,1371,1046
